Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,3468.57,наличный,Минск,Приорбанк-CIZO-414,20-08-2000,20:56:32,недостаточно средств,да,236.77
физ. лицо,получение средств,3502.63,безналичный,Гомель,БелАгропромбанк-FXCM-084,25-09-2016,18:32:26,успешно,нет,0.0
физ. лицо,получение средств,2588.3,безналичный,Гомель,Приорбанк-LMWD-166,30-09-2001,10:57:32,успешно,нет,0.0
физ. лицо,получение средств,1877.52,безналичный,Могилев,Белинвестбанк-BRMS-941,14-01-2020,17:12:27,успешно,нет,0.0
физ. лицо,списание средств,4070.57,безналичный,Гомель,Белинвестбанк-CTFF-599,14-12-2008,11:20:46,недостаточно средств,да,88.64
физ. лицо,списание средств,3997.56,наличный,Гродно,МаксБанк-HTZP-459,12-07-2000,12:56:01,недостаточно средств,нет,0.0
физ. лицо,получение средств,1214.15,безналичный,Могилев,Белинвестбанк-EYRI-487,27-05-2005,19:26:12,успешно,нет,0.0
физ. лицо,получение средств,547.98,безналичный,Витебск,МаксБанк-RGQQ-019,18-07-2000,23:08:32,успешно,нет,0.0
физ. лицо,списание средств,2728.74,безналичный,Минск,МаксБанк-USDP-869,06-08-2022,10:52:39,успешно,да,209.6
физ. лицо,получение средств,2686.41,наличный,Витебск,Белинвестбанк-BVIA-859,18-08-2000,22:50:22,успешно,нет,0.0
физ. лицо,списание средств,2418.48,безналичный,Минск,БелАгропромбанк-BRKG-333,27-04-2001,02:28:46,недостаточно средств,да,40.67
физ. лицо,получение средств,200.58,безналичный,Гомель,БелАгропромбанк-XIRN-447,02-07-2018,22:14:12,успешно,нет,0.0
физ. лицо,списание средств,159.97,наличный,Гродно,Белинвестбанк-UWDE-810,17-05-2015,13:15:29,успешно,да,10.87
физ. лицо,списание средств,2335.29,наличный,Гродно,МаксБанк-GDCY-216,25-09-2005,21:07:37,успешно,нет,0.0
