Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4771.58,безналичный,Витебск,Приорбанк-DYXE-474,13-03-2009,07:08:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2214.49,наличный,Гродно,МаксБанк-LPFD-181,17-02-2022,15:51:27,успешно,да,49.44
юр. лицо,получение средств,1898.33,безналичный,Витебск,МаксБанк-VKGL-841,16-02-2019,03:39:25,успешно,нет,0.0
юр. лицо,списание средств,3206.39,наличный,Могилев,БелАгропромбанк-YAQF-498,18-01-2021,06:01:54,успешно,нет,0.0
юр. лицо,списание средств,2579.68,безналичный,Минск,Беларусбанк-VMUR-280,17-06-2022,08:43:27,успешно,нет,0.0
юр. лицо,получение средств,2429.52,безналичный,Витебск,Беларусбанк-YCXD-068,23-09-2023,08:12:45,успешно,нет,0.0
юр. лицо,получение средств,4010.24,наличный,Брест,МаксБанк-OTHZ-638,01-04-2010,10:04:40,успешно,нет,0.0
юр. лицо,списание средств,4200.71,безналичный,Витебск,Беларусбанк-MTUN-136,25-08-2006,14:15:36,успешно,нет,0.0
юр. лицо,получение средств,4721.74,безналичный,Витебск,Белинвестбанк-TAEN-922,13-11-2007,23:30:30,успешно,нет,0.0
юр. лицо,списание средств,2937.85,наличный,Гродно,МаксБанк-SRAC-447,06-03-2004,16:47:09,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1361.41,наличный,Могилев,МаксБанк-AHKF-596,07-07-2016,21:18:08,успешно,нет,0.0
юр. лицо,получение средств,1589.73,наличный,Минск,МаксБанк-CHZE-197,03-12-2017,18:19:47,успешно,нет,0.0
юр. лицо,получение средств,3508.36,безналичный,Гомель,Белинвестбанк-GPSZ-408,13-10-2000,22:43:55,успешно,нет,0.0
юр. лицо,списание средств,2743.37,безналичный,Витебск,Беларусбанк-SASG-900,11-06-2001,22:50:38,неправильный ввод пин-кода,да,157.04
юр. лицо,списание средств,2621.15,наличный,Витебск,Приорбанк-ZJAQ-819,18-06-2012,02:47:03,успешно,нет,0.0
юр. лицо,получение средств,4068.36,безналичный,Витебск,Белинвестбанк-MYSU-291,16-05-2021,18:43:34,успешно,нет,0.0
юр. лицо,получение средств,3662.76,безналичный,Минск,Приорбанк-WLCX-779,14-05-2009,16:17:31,успешно,нет,0.0
юр. лицо,списание средств,4280.98,безналичный,Гродно,Белинвестбанк-GWLT-364,26-02-2010,18:30:05,недостаточно средств,да,314.66
юр. лицо,получение средств,480.01,безналичный,Минск,Беларусбанк-QZAQ-645,25-11-2022,05:24:21,успешно,нет,0.0
юр. лицо,получение средств,4981.44,наличный,Витебск,Беларусбанк-YAQO-237,25-09-2019,22:57:34,успешно,нет,0.0
юр. лицо,списание средств,2190.71,наличный,Могилев,Беларусбанк-KOVI-899,20-02-2006,19:38:16,неправильный ввод пин-кода,да,150.8
юр. лицо,списание средств,1225.82,наличный,Гродно,МаксБанк-RGFU-593,22-07-2018,23:51:51,недостаточно средств,да,73.86
юр. лицо,получение средств,925.17,безналичный,Гомель,БелАгропромбанк-KXUT-911,12-12-2022,22:40:58,успешно,нет,0.0
юр. лицо,получение средств,2685.18,безналичный,Витебск,Беларусбанк-VOLA-109,11-04-2010,21:28:36,успешно,нет,0.0
юр. лицо,списание средств,3085.87,безналичный,Гомель,Беларусбанк-GAYO-054,05-07-2007,22:53:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,633.08,безналичный,Могилев,Беларусбанк-DEIC-629,25-10-2000,04:39:54,недостаточно средств,да,47.66
юр. лицо,получение средств,1024.72,безналичный,Витебск,БелАгропромбанк-QBLB-863,29-04-2013,15:30:33,успешно,нет,0.0
юр. лицо,получение средств,325.33,безналичный,Минск,БелАгропромбанк-DCLD-681,30-03-2009,14:58:39,успешно,нет,0.0
юр. лицо,списание средств,3615.48,наличный,Брест,Белинвестбанк-TWZQ-776,01-03-2004,12:07:51,успешно,нет,0.0
юр. лицо,получение средств,363.7,безналичный,Минск,БелАгропромбанк-LKFP-707,19-11-2013,18:24:55,успешно,нет,0.0
юр. лицо,списание средств,4521.29,наличный,Брест,Беларусбанк-NTCF-605,27-03-2003,02:35:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,2510.14,безналичный,Могилев,Приорбанк-AHOD-432,04-01-2023,14:33:29,неправильный ввод пин-кода,да,38.84
юр. лицо,списание средств,1212.94,безналичный,Гродно,Белинвестбанк-DUJH-202,19-03-2011,01:25:51,недостаточно средств,нет,0.0
юр. лицо,получение средств,1183.44,наличный,Гродно,МаксБанк-JDDV-270,13-12-2011,05:34:01,успешно,нет,0.0
юр. лицо,списание средств,3560.69,безналичный,Гродно,БелАгропромбанк-YGJX-336,17-06-2013,15:17:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2435.01,безналичный,Гомель,БелАгропромбанк-OCEY-798,01-12-2011,15:54:56,успешно,нет,0.0
юр. лицо,списание средств,4001.47,безналичный,Могилев,МаксБанк-CBOB-321,22-07-2011,00:13:43,успешно,нет,0.0
юр. лицо,списание средств,2948.15,безналичный,Могилев,БелАгропромбанк-XIHV-179,09-06-2002,07:14:00,недостаточно средств,да,59.81
юр. лицо,списание средств,4864.45,безналичный,Минск,МаксБанк-OYTK-928,21-04-2023,11:55:55,неправильный ввод пин-кода,да,78.22
юр. лицо,списание средств,2529.26,безналичный,Брест,Приорбанк-JFWK-337,30-04-2011,06:02:21,недостаточно средств,нет,0.0
