Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,3468.57,наличный,Минск,Приорбанк-CIZO-414,20-08-2000,20:56:32,недостаточно средств,да,236.77
физ. лицо,получение средств,3502.63,безналичный,Гомель,БелАгропромбанк-FXCM-084,25-09-2016,18:32:26,успешно,нет,0.0
юр. лицо,списание средств,4771.58,безналичный,Витебск,Приорбанк-DYXE-474,13-03-2009,07:08:51,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2588.3,безналичный,Гомель,Приорбанк-LMWD-166,30-09-2001,10:57:32,успешно,нет,0.0
физ. лицо,получение средств,1877.52,безналичный,Могилев,Белинвестбанк-BRMS-941,14-01-2020,17:12:27,успешно,нет,0.0
физ. лицо,списание средств,4070.57,безналичный,Гомель,Белинвестбанк-CTFF-599,14-12-2008,11:20:46,недостаточно средств,да,88.64
юр. лицо,списание средств,2214.49,наличный,Гродно,МаксБанк-LPFD-181,17-02-2022,15:51:27,успешно,да,49.44
юр. лицо,получение средств,1898.33,безналичный,Витебск,МаксБанк-VKGL-841,16-02-2019,03:39:25,успешно,нет,0.0
физ. лицо,списание средств,3997.56,наличный,Гродно,МаксБанк-HTZP-459,12-07-2000,12:56:01,недостаточно средств,нет,0.0
юр. лицо,списание средств,3206.39,наличный,Могилев,БелАгропромбанк-YAQF-498,18-01-2021,06:01:54,успешно,нет,0.0
юр. лицо,списание средств,2579.68,безналичный,Минск,Беларусбанк-VMUR-280,17-06-2022,08:43:27,успешно,нет,0.0
физ. лицо,получение средств,1214.15,безналичный,Могилев,Белинвестбанк-EYRI-487,27-05-2005,19:26:12,успешно,нет,0.0
физ. лицо,получение средств,547.98,безналичный,Витебск,МаксБанк-RGQQ-019,18-07-2000,23:08:32,успешно,нет,0.0
юр. лицо,получение средств,2429.52,безналичный,Витебск,Беларусбанк-YCXD-068,23-09-2023,08:12:45,успешно,нет,0.0
